date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:59	65391/65391	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2013:34:42%20GMT	https://rainbowit.net/html/doob/index-startup.html	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/index-startup.html	(from )
19:39:02	1076/1076	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2014:09:06%20GMT	https://rainbowit.net/robots.txt		(from )
19:39:03	10053/10053	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Sep%202021%2016:23:12%20GMT	https://rainbowit.net/html/doob/assets/images/favicon.png	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/images/favicon.png	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:05	209710/209710	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/vendor/bootstrap.min.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/vendor/bootstrap.min.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:05	74357/74357	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/animation.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/plugins/animation.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:05	14219/14219	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:54%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/feature.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/plugins/feature.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:05	5783/5783	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2005:34:50%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/magnify.min.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/plugins/magnify.min.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:06	1293/1293	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2005:34:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/slick.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/plugins/slick.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:06	2421/2421	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2005:34:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/slick-theme.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/plugins/slick-theme.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:07	27344/27344	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2014:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/lightbox.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/plugins/lightbox.css	(from https://rainbowit.net/html/doob/index-startup.html)
19:39:08	301784/301784	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202022%2013:12:56%20GMT	https://rainbowit.net/html/doob/assets/css/style.css	C:/Users/JIBANANDA/OneDrive/Desktop/copy%20maal/dipak/esain/rainbowit.net/html/doob/assets/css/style.css	(from https://rainbowit.net/html/doob/index-startup.html)
